Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
David Raya,ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,3,0
William Saliba,FRA,DF,23,35,35,3039,33.8,2,0,2,2,0,0,2,1
Declan Rice,ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1
Thomas Partey,GHA,"MF,DF",31,35,31,2797,31.1,4,2,6,4,0,0,4,0
Leandro Trossard,BEL,FW,29,38,28,2546,28.3,8,7,15,8,0,0,4,1
Gabriel Magalhães,BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0
Jurriën Timber,NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0
Martin Ødegaard,NOR,MF,25,30,26,2325,25.8,3,8,11,2,1,1,4,0
Gabriel Martinelli,BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0
Kai Havertz,GER,"FW,MF",25,23,21,1875,20.8,9,3,12,9,0,0,5,0
Bukayo Saka,ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0
Mikel Merino,ESP,"MF,FW",28,28,17,1586,17.6,7,2,9,7,0,0,4,1
Myles Lewis-Skelly,ENG,DF,17,23,15,1369,15.2,1,0,1,1,0,0,3,2
Ben White,ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0
Riccardo Calafiori,ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0
Ethan Nwaneri,ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0
Jakub Kiwior,POL,DF,24,17,10,1122,12.5,1,0,1,1,0,0,1,0
Jorginho,ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0
Raheem Sterling,ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0
Gabriel Jesus,BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0
Oleksandr Zinchenko,UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0
Kieran Tierney,SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0
Nathan Butler-Oyedeji,ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0
Reiss Nelson,ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0
