Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Emiliano Martínez,ARG,GK,31,37,37,3194,35.5,0,0,0,0,0,0,5,1
Morgan Rogers,ENG,"FW,MF",22,37,37,3114,34.6,8,10,18,8,0,0,10,0
Youri Tielemans,BEL,MF,27,36,35,3026,33.6,3,7,10,3,0,1,4,0
Ezri Konsa,ENG,DF,26,34,33,2936,32.6,2,0,2,2,0,0,1,0
Ollie Watkins,ENG,FW,28,38,31,2598,28.9,16,8,24,14,2,2,2,0
Lucas Digne,FRA,DF,31,32,28,2351,26.1,0,4,4,0,0,0,4,0
John McGinn,SCO,"MF,FW",29,34,27,2223,24.7,1,4,5,1,0,0,7,0
Matty Cash,POL,DF,26,27,24,2070,23.0,1,1,2,1,0,0,7,0
Pau Torres,ESP,DF,27,24,23,2020,22.4,0,0,0,0,0,0,2,0
Boubacar Kamara,FRA,MF,24,26,20,1726,19.2,1,0,1,1,0,0,2,0
Amadou Onana,BEL,MF,22,26,20,1617,18.0,3,0,3,3,0,0,4,0
Jacob Ramsey,ENG,"FW,MF",23,29,19,1623,18.0,1,3,4,1,0,0,4,1
Leon Bailey,JAM,"FW,MF",26,24,14,1139,12.7,1,2,3,1,0,0,3,0
Tyrone Mings,ENG,DF,31,14,12,1120,12.4,0,0,0,0,0,0,1,0
Ian Maatsen,NED,DF,22,29,10,1139,12.7,1,2,3,1,0,0,2,0
Marco Asensio,ESP,MF,28,13,9,743,8.3,3,1,4,3,0,2,2,0
Diego Carlos,BRA,DF,31,10,8,830,9.2,0,0,0,0,0,0,1,0
Axel Disasi,FRA,DF,26,7,5,490,5.4,0,0,0,0,0,0,2,0
Lamare Bogarde,NED,"DF,MF",20,8,5,476,5.3,0,0,0,0,0,0,2,0
Andrés García,ESP,"DF,MF",21,7,5,318,3.5,0,0,0,0,0,0,0,0
Jáder Durán,COL,FW,20,20,4,638,7.1,7,0,7,7,0,0,3,1
Marcus Rashford,ENG,FW,26,10,4,444,4.9,2,2,4,1,1,1,0,0
Ross Barkley,ENG,MF,30,20,3,581,6.5,3,1,4,3,0,0,3,0
Jaden Philogene Bidace,ENG,"FW,MF",22,11,2,332,3.7,0,0,0,0,0,0,4,1
Donyell Malen,NED,FW,25,14,2,305,3.4,3,0,3,3,0,0,0,0
Robin Olsen,SWE,GK,34,4,1,226,2.5,0,0,0,0,0,0,0,0
Kosta Nedeljković,SRB,DF,18,5,0,126,1.4,0,0,0,0,0,0,0,0
Emi Buendía,ARG,"MF,FW",27,12,0,98,1.1,0,0,0,0,0,0,1,0
