Milos Kerkez,HUN,DF,20,38,38.1,"3,336",37.1,2.0,5.0,7.0,2.1,0.0,0.1,4.0,0.2
Antoine Semenyo,GHA,FW,24,37,36.0,"3,203",35.6,11.0,5.0,16.0,11.0,0.0,0.0,9.0,0.0
Illia Zabarnyi,UKR,DF,21,36,35.0,"3,109",34.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0
Lewis Cook,ENG,"MF,DF",27,36,32.0,"2,978",33.1,1.0,3.0,4.0,1.0,0.0,0.0,8.0,1.0
Kepa Arrizabalaga,ESP,GK,29,31,31.0,"2,790",31.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Justin Kluivert,NED,MF,25,34,29.0,"2,340",26.0,12.0,6.0,18.0,6.0,6.0,6.0,8.0,0.0
Evanilson,BRA,FW,24,31,28.0,"2,319",25.8,10.0,1.0,11.0,10.0,0.0,1.0,1.0,1.0
Ryan Christie,SCO,MF,29,29,27.0,"2,117",23.5,2.0,3.0,5.0,2.0,0.0,0.0,9.0,0.0
Dean Huijsen,ESP,DF,19,32,26.0,"2,427",27.0,3.0,2.0,5.0,3.0,0.0,0.0,10.0,0.0
Dango Ouattara,BFA,FW,22,32,21.0,"2,005",22.3,7.0,4.0,11.0,7.0,0.0,0.0,3.0,0.0
Tyler Adams,USA,MF,25,28,21.0,"1,965",21.8,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0
Marcus Tavernier,ENG,"FW,MF",25,29,20.0,"1,939",21.5,3.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0
Adam Smith,ENG,DF,33,25,19.0,"1,590",17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Marcos Senesi,ARG,DF,27,17,13.0,"1,106",12.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
David Brooks,WAL,"FW,MF",27,29,9.0,960,10.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0
Alex Scott,ENG,MF,20,20,8.0,755,8.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Julian Araujo,MEX,DF,22,12,7.0,497,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
James Hill,ENG,DF,22,10,6.0,448,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Mark Travers,IRL,GK,25,5,5.0,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enes Ünal,TUR,"FW,MF",27,17,2.0,345,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0
Neto,BRA,GK,35,2,2.0,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Sinisterra,COL,"FW,MF",25,12,1.0,236,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Philip Billing,DEN,MF,28,10,1.0,184,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Max Aarons,ENG,DF,24,3,1.0,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Jebbison,CAN,FW,20,16,0.0,119,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Ben Winterburn,ENG,"MF,FW",19,4,0.0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julio Soler,ARG,"DF,FW",19,3,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Remy Rees-Dottin,ENG,FW,18,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zain Silcott-Duberry,MSR,FW,19,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Adu-Adjei,ENG,FW,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matai Akinmboni,USA,DF,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaidon Anthony,ENG,"FW,MF",24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Dennis,ENG,GK,24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Archie Harris,WAL,DF,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamed Junior Traorè,CIV,"FW,MF",24,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callan Mckenna,SCO,GK,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Sadi,ENG,MF,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxwell Wellings,ENG,DF,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
