Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bart Verbruggen,NED,GK,21,36,36,3240,36.0,0,1,1,0,0,0,5,0
Jan Paul van Hecke,NED,DF,24,34,33,2958,32.9,1,1,2,1,0,0,8,1
Carlos Baleba,CMR,MF,20,34,31,2661,29.6,3,1,4,3,0,0,8,1
Kaoru Mitoma,JPN,"FW,MF",27,36,28,2603,28.9,10,4,14,10,0,0,1,0
Pervis Estupiñán,ECU,DF,26,30,26,2402,26.7,1,1,2,1,0,0,5,0
Danny Welbeck,ENG,FW,33,30,24,2115,23.5,10,4,14,9,1,1,5,0
Lewis Dunk,ENG,DF,32,25,23,2083,23.1,0,0,0,0,0,0,5,0
João Pedro,BRA,"FW,MF",22,27,23,1948,21.6,10,6,16,5,5,5,4,1
Yasin Ayari,SWE,MF,20,34,22,1965,21.8,2,1,3,2,0,0,3,0
Jack Hinshelwood,ENG,"MF,DF",19,26,22,1842,20.5,5,2,7,5,0,0,5,0
Yankuba Minteh,GAM,"FW,MF",20,32,20,1838,20.4,6,4,10,6,0,0,6,0
Joël Veltman,NED,DF,32,21,19,1697,18.9,0,0,0,0,0,0,5,0
Georginio Rutter,FRA,"MF,FW",22,28,19,1656,18.4,5,3,8,5,0,0,2,0
Simon Adingra,CIV,"FW,MF",22,29,12,1097,12.2,2,2,4,2,0,0,0,0
Matt O'Riley,DEN,MF,23,21,11,938,10.4,2,2,4,1,1,1,1,0
Adam Webster,ENG,DF,29,14,11,887,9.9,0,0,0,0,0,0,1,0
Mats Wieffer,NED,"DF,MF",24,25,10,1015,11.3,1,3,4,1,0,0,6,0
Igor,BRA,DF,26,13,10,961,10.7,0,0,0,0,0,0,4,0
Tariq Lamptey,GHA,DF,23,15,10,860,9.6,2,2,4,2,0,0,0,0
Brajan Gruda,GER,"MF,FW",20,21,8,687,7.6,1,4,5,1,0,0,0,0
Ferdi Kadioglu,TUR,"DF,MF",24,6,5,385,4.3,1,0,1,1,0,0,1,0
Diego Gómez,PAR,MF,21,16,4,516,5.7,1,0,1,1,0,0,0,0
James Milner,ENG,MF,38,4,3,170,1.9,0,0,0,0,0,0,1,0
Julio Enciso,PAR,"MF,FW",20,12,2,294,3.3,0,0,0,0,0,0,0,0
Evan Ferguson,IRL,FW,19,13,2,246,2.7,1,0,1,1,0,0,0,0
Jason Steele,ENG,GK,33,2,2,180,2.0,0,0,0,0,0,0,0,0
Solly March,ENG,"FW,MF",30,8,1,168,1.9,0,0,0,0,0,0,2,0
Billy Gilmour,SCO,MF,23,2,1,98,1.1,0,0,0,0,0,0,0,0
Eiran Cashin,IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0
Jakub Moder,POL,MF,25,4,0,11,0.1,0,0,0,0,0,0,0,0
Jeremy Sarmiento,ECU,MF,22,1,0,9,0.1,0,0,0,0,0,0,0,0
Harry Howell,ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0
