Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Dean Henderson,ENG,GK,27,38,38,3420,38.0,0,0,0,0,0,0,3,0
Daniel Muñoz,COL,DF,28,37,37,3228,35.9,4,5,9,4,0,0,10,0
Tyrick Mitchell,ENG,DF,24,37,37,3092,34.4,0,5,5,0,0,0,2,0
Maxence Lacroix,FRA,DF,24,35,35,3116,34.6,1,1,2,1,0,0,5,0
Marc Guéhi,ENG,DF,24,34,34,3059,34.0,3,2,5,3,0,0,9,1
Jean-Philippe Mateta,FRA,FW,27,37,33,2648,29.4,14,2,16,12,2,2,2,0
Eberechi Eze,ENG,"MF,FW",26,34,31,2588,28.8,8,8,16,7,1,2,1,0
Ismaila Sarr,SEN,MF,26,38,30,2711,30.1,8,6,14,8,0,0,4,0
Jefferson Lerma,COL,"MF,DF",29,33,26,2274,25.3,0,1,1,0,0,0,9,0
Will Hughes,ENG,MF,29,33,24,2108,23.4,0,3,3,0,0,0,11,0
Chris Richards,USA,DF,24,24,22,1922,21.4,1,0,1,1,0,0,4,1
Adam Wharton,ENG,MF,20,20,16,1318,14.6,0,2,2,0,0,0,2,0
Daichi Kamada,JPN,MF,27,34,15,1564,17.4,0,0,0,0,0,0,4,1
Trevoh Chalobah,ENG,DF,25,12,12,1060,11.8,3,0,3,3,0,0,1,0
Eddie Nketiah,ENG,"FW,MF",25,29,9,1034,11.5,3,1,4,3,0,0,6,1
Nathaniel Clyne,ENG,"DF,MF",33,13,5,483,5.4,0,0,0,0,0,0,1,0
Justin Devenny,NIR,MF,20,23,4,507,5.6,1,1,2,1,0,0,1,0
Cheick Doucouré,MLI,MF,24,13,4,452,5.0,0,0,0,0,0,0,1,0
Ben Chilwell,ENG,DF,27,8,1,259,2.9,1,0,1,1,0,0,1,0
Romain Esse,ENG,MF,19,7,1,138,1.5,1,1,2,1,0,0,0,0
Odsonne Édouard,FRA,"MF,FW",26,2,1,115,1.3,0,0,0,0,0,0,0,0
Joachim Andersen,DEN,DF,28,1,1,90,1.0,0,0,0,0,0,0,1,0
Chadi Riad,MAR,DF,21,1,1,90,1.0,0,0,0,0,0,0,0,0
Joel Ward,ENG,DF,34,2,1,71,0.8,0,0,0,0,0,0,1,0
Jeffrey Schlupp,GHA,"MF,DF",31,12,0,103,1.1,0,0,0,0,0,0,0,0
Matheus França,BRA,"MF,FW",20,4,0,55,0.6,1,0,1,1,0,0,0,0
Jordan Ayew,GHA,"FW,MF",32,1,0,21,0.2,0,0,0,0,0,0,1,0
Caleb Kporha,ENG,DF,18,2,0,13,0.1,0,0,0,0,0,0,0,0
Asher Agbinone,ENG,MF,18,2,0,6,0.1,0,0,0,0,0,0,0,0
