Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bernd Leno,GER,GK,32,38,38,3420,38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
Antonee Robinson,USA,DF,26,36,35,3167,35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0
Alex Iwobi,NGA,"FW,MF",28,38,35,2981,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0
Calvin Bassey,NGA,DF,24,35,34,3074,34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0
Raúl Jiménez,MEX,FW,33,38,30,2494,27.7,12.0,3.0,15.0,9.0,3.0,3.0,4.0,0.0
Joachim Andersen,DEN,DF,28,29,29,2583,28.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
Saša Lukić,SRB,MF,27,30,28,2344,26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0
Sander Berge,NOR,MF,26,31,26,2224,24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Emile Smith Rowe,ENG,MF,24,34,25,2043,22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0
Andreas Pereira,BRA,MF,28,33,25,2013,22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0
Kenny Tete,NED,DF,28,22,21,1774,19.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0
Adama Traoré,ESP,"FW,MF",28,36,18,1772,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0
Timothy Castagne,BEL,DF,28,24,17,1649,18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Issa Diop,FRA,DF,27,21,15,1339,14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Harry Wilson,WAL,"FW,MF",27,25,12,1162,12.9,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0
Rodrigo Muniz,BRA,FW,23,31,8,964,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0
Ryan Sessegnon,ENG,"FW,DF",24,16,7,580,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0
Reiss Nelson,ENG,FW,24,11,5,487,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
Jorge Cuenca,ESP,DF,24,8,4,351,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Cairney,SCO,MF,33,25,3,628,7.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0
Willian,BRA,"FW,MF",35,10,2,257,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua King,ENG,MF,17,8,1,130,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harrison Reed,ENG,MF,29,12,0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Martial Godo,ENG,"FW,DF",21,2,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Vinícius,BRA,"MF,FW",29,3,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Stansfield,ENG,MF,21,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
