Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Dara O'Shea,IRL,DF,25,35,35,3122,34.7,0,2,2,0,0,0,6,0
Leif Davis,ENG,DF,24,33,32,2743,30.5,1,2,3,1,0,0,5,1
Liam Delap,ENG,FW,21,37,32,2593,28.8,12,2,14,10,2,2,12,0
Sam Morsy,EGY,MF,32,33,31,2751,30.6,1,1,2,1,0,0,10,0
Omari Hutchinson,ENG,"MF,FW",20,31,30,2583,28.7,3,2,5,3,0,0,5,0
Jacob Greaves,ENG,DF,23,25,25,2205,24.5,1,0,1,1,0,0,5,0
Jens Cajuste,SWE,MF,24,30,25,1959,21.8,1,1,2,1,0,0,2,0
Axel Tuanzebe,COD,DF,26,22,20,1710,19.0,0,1,1,0,0,0,5,1
Arijanet Muric,KVX,GK,25,18,18,1620,18.0,0,0,0,0,0,0,1,0
Cameron Burgess,AUS,DF,28,18,16,1541,17.1,0,2,2,0,0,0,0,0
Ben Johnson,ENG,"DF,FW",24,23,14,1354,15.0,1,2,3,1,0,0,5,1
Kalvin Phillips,ENG,MF,28,19,14,1237,13.7,0,0,0,0,0,0,6,1
Alex Palmer,ENG,GK,27,13,13,1170,13.0,0,0,0,0,0,0,2,0
Sammie Szmodics,IRL,"FW,MF",28,20,13,992,11.0,4,0,4,4,0,0,2,0
Luke Woolfenden,ENG,DF,25,15,12,1187,13.2,0,0,0,0,0,0,2,0
Jack Clarke,ENG,"FW,MF",23,32,12,1181,13.1,0,4,4,0,0,0,2,0
Wes Burns,WAL,"FW,DF",29,18,12,926,10.3,0,1,1,0,0,0,1,0
Julio Enciso,PAR,"MF,FW",20,13,12,869,9.7,2,3,5,2,0,0,3,0
Conor Chaplin,ENG,"MF,FW",27,22,10,857,9.5,1,1,2,1,0,0,2,0
Nathan Broadhead,WAL,"MF,FW",26,18,7,702,7.8,2,0,2,2,0,0,1,0
Christian Walton,ENG,GK,28,7,7,630,7.0,0,0,0,0,0,0,0,0
George Hirst,SCO,FW,25,26,5,661,7.3,3,1,4,3,0,0,3,0
Jaden Philogene Bidace,ENG,"FW,DF",22,10,5,474,5.3,2,0,2,2,0,0,1,0
Jack Taylor,IRL,MF,26,32,4,860,9.6,1,0,1,1,0,0,4,0
Harry Clarke,ENG,DF,23,7,4,379,4.2,0,0,0,0,0,0,3,1
Conor Townsend,ENG,DF,31,6,3,335,3.7,0,1,1,0,0,0,1,0
Chiedozie Ogbene,IRL,FW,27,5,3,238,2.6,0,0,0,0,0,0,0,0
Massimo Luongo,AUS,MF,31,11,2,201,2.2,0,0,0,0,0,0,0,0
Ben Godfrey,ENG,DF,26,3,2,159,1.8,0,0,0,0,0,0,1,0
Ali Al Hamadi,IRQ,FW,22,11,0,134,1.5,0,0,0,0,0,0,3,0
Marcus Harness,ENG,MF,28,2,0,45,0.5,0,0,0,0,0,0,0,0
George Edmundson,ENG,DF,26,1,0,2,0.0,0,0,0,0,0,0,0,0
