Mohamed Salah,EGY,FW,32,38,38.1,"3,371",37.5,29.0,18.0,47.0,20.0,9.0,9.1,1.0,0.0
Virgil van Dijk,NED,DF,33,37,37.0,"3,330",37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0
Ryan Gravenberch,NED,MF,22,37,37.0,"3,160",35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0
Alexis Mac Allister,ARG,MF,25,35,30.0,"2,599",28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0
Ibrahima Konaté,FRA,DF,25,31,30.0,"2,560",28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0
Dominik Szoboszlai,HUN,MF,23,36,29.0,"2,491",27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0
Andrew Robertson,SCO,DF,30,33,29.0,"2,482",27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0
Alisson,BRA,GK,31,28,28.0,"2,508",27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Díaz,COL,FW,27,36,28.0,"2,399",26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0
Trent Alexander-Arnold,ENG,DF,25,33,28.0,"2,365",26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0
Cody Gakpo,NED,FW,25,35,23.0,"1,935",21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0
Curtis Jones,ENG,"MF,DF",23,33,19.0,"1,712",19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0
Diogo Jota,POR,FW,27,26,14.0,"1,196",13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0
Caoimhín Kelleher,IRL,GK,25,10,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kostas Tsimikas,GRE,DF,28,18,9.0,837,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Darwin Núñez,URU,FW,25,30,8.0,"1,133",12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0
Conor Bradley,NIR,DF,21,19,7.0,754,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0
Joe Gomez,ENG,DF,27,9,6.0,519,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jarell Quansah,ENG,DF,21,13,4.0,495,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Harvey Elliott,ENG,MF,21,18,2.0,371,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0
Wataru Endo,JPN,"MF,DF",31,20,1.0,273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Chiesa,ITA,FW,26,6,1.0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitezslav Jaros,CZE,GK,23,1,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayden Danns,ENG,MF,18,1,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Davies,ENG,GK,20,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James McConnell,ENG,MF,19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Morton,ENG,MF,21,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amara Nallo,ENG,DF,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Nyoni,ENG,MF,17,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
