Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bruno Fernandes,POR,MF,29,36,35,3018,33.5,8,10,18,5,3,3,5,2
André Onana,CMR,GK,28,34,34,3060,34.0,0,0,0,0,0,0,0,0
Noussair Mazraoui,MAR,DF,26,37,34,2838,31.5,0,1,1,0,0,0,3,0
Diogo Dalot,POR,DF,25,33,31,2814,31.3,0,3,3,0,0,0,5,0
Matthijs de Ligt,NED,DF,24,29,25,2123,23.6,2,0,2,2,0,0,3,0
Alejandro Garnacho,ARG,"MF,FW",20,36,23,2199,24.4,6,2,8,6,0,0,3,0
Rasmus Højlund,DEN,FW,21,32,23,2004,22.3,4,0,4,4,0,0,2,0
Manuel Ugarte,URU,MF,23,29,22,1785,19.8,1,2,3,1,0,0,11,0
Amad Diallo,CIV,"MF,FW",22,26,20,1901,21.1,8,6,14,8,0,0,5,0
Lisandro Martínez,ARG,DF,26,20,20,1751,19.5,2,1,3,2,0,0,7,0
Harry Maguire,ENG,DF,31,27,19,1758,19.5,1,0,1,1,0,0,7,0
Kobbie Mainoo,ENG,MF,19,25,19,1651,18.3,0,0,0,0,0,0,5,0
Casemiro,BRA,MF,32,24,18,1494,16.6,1,0,1,1,0,0,5,0
Joshua Zirkzee,NED,"FW,MF",23,32,14,1402,15.6,3,1,4,3,0,0,2,0
Leny Yoro,FRA,DF,18,21,12,1165,12.9,0,0,0,0,0,0,5,0
Marcus Rashford,ENG,"FW,MF",26,15,12,978,10.9,4,1,5,4,0,0,2,0
Christian Eriksen,DEN,MF,32,23,11,1061,11.8,1,2,3,0,1,1,4,0
Patrick Dorgu,DEN,DF,19,12,10,842,9.4,0,0,0,0,0,0,3,1
Mason Mount,ENG,MF,25,17,8,622,6.9,1,0,1,1,0,0,3,0
Victor Lindelöf,SWE,DF,30,16,6,704,7.8,0,0,0,0,0,0,1,0
Altay Bayındır,TUR,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0
Luke Shaw,ENG,DF,29,7,4,349,3.9,0,0,0,0,0,0,1,0
Harry Amass,ENG,DF,17,5,4,346,3.8,0,0,0,0,0,0,0,0
Jonny Evans,NIR,DF,36,7,3,315,3.5,0,0,0,0,0,0,1,0
Ayden Heaven,ENG,DF,17,4,2,170,1.9,0,0,0,0,0,0,1,0
Tyler Fredricson,ENG,DF,19,2,2,165,1.8,0,0,0,0,0,0,0,0
Tyrell Malacia,NED,DF,24,3,2,100,1.1,0,0,0,0,0,0,1,0
Chidozie Obi-Martin,DEN,FW,16,7,1,165,1.8,0,0,0,0,0,0,1,0
Toby Collyer,ENG,MF,20,6,0,179,2.0,0,0,0,0,0,0,0,0
Antony,BRA,"DF,MF",24,8,0,141,1.6,0,0,0,0,0,0,0,0
Scott McTominay,SCO,MF,27,2,0,19,0.2,0,0,0,0,0,0,0,0
