Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Bruno Guimarães,BRA,MF,26,38,38,3271,36.3,5,6,11,5,0,0,7,0
Dan Burn,ENG,DF,32,37,37,3330,37.0,1,1,2,1,0,0,11,0
Alexander Isak,SWE,FW,24,34,34,2756,30.6,23,6,29,19,4,4,1,0
Fabian Schär,SUI,DF,32,34,33,2934,32.6,4,0,4,4,0,0,9,1
Valentino Livramento,ENG,DF,21,37,32,2840,31.6,0,1,1,0,0,0,1,0
Jacob Murphy,ENG,FW,29,35,31,2360,26.2,8,12,20,8,0,0,4,0
Joelinton,BRA,"MF,FW",27,29,29,2393,26.6,4,3,7,4,0,0,10,0
Sandro Tonali,ITA,MF,24,36,28,2630,29.2,4,2,6,4,0,0,5,0
Nick Pope,ENG,GK,32,28,28,2520,28.0,0,0,0,0,0,0,2,0
Anthony Gordon,ENG,"FW,MF",23,34,28,2434,27.0,6,5,11,5,1,2,2,0
Lewis Hall,ENG,DF,19,27,24,2189,24.3,0,4,4,0,0,0,3,0
Harvey Barnes,ENG,FW,26,33,17,1755,19.5,9,4,13,9,0,0,0,0
Kieran Trippier,ENG,DF,33,25,14,1309,14.5,0,3,3,0,0,0,1,0
Joe Willock,ENG,"MF,FW",24,32,11,1086,12.1,0,2,2,0,0,0,4,0
Martin Dúbravka,SVK,GK,35,10,10,900,10.0,0,0,0,0,0,0,0,0
Sean Longstaff,ENG,MF,26,25,8,798,8.9,0,0,0,0,0,0,2,0
Sven Botman,NED,DF,24,8,6,412,4.6,0,0,0,0,0,0,1,0
Lloyd Kelly,ENG,DF,25,10,4,303,3.4,0,1,1,0,0,0,2,0
Callum Wilson,ENG,FW,32,18,2,370,4.1,0,0,0,0,0,0,1,0
Emil Krafth,SWE,DF,29,12,2,342,3.8,0,0,0,0,0,0,2,0
Lewis Miley,ENG,MF,18,14,1,313,3.5,1,0,1,1,0,0,0,0
Miguel Almirón,PAR,FW,30,9,1,157,1.7,0,0,0,0,0,0,0,0
William Osula,DEN,FW,20,14,0,134,1.5,1,0,1,1,0,0,0,0
Matt Targett,ENG,DF,28,2,0,21,0.2,0,0,0,0,0,0,0,0
