Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Matz Sels,BEL,GK,32,38,38,3420,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Nikola Milenković,SRB,DF,26,37,37,3330,37.0,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0
Murillo,BRA,DF,22,36,36,3188,35.4,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0
Ola Aina,NGA,DF,27,35,35,2995,33.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0
Chris Wood,NZL,FW,32,36,35,2959,32.9,20.0,3.0,23.0,17.0,3.0,3.0,1.0,0.0
Morgan Gibbs-White,ENG,MF,24,34,34,2803,31.1,7.0,8.0,15.0,7.0,0.0,0.0,11.0,1.0
Elliot Anderson,ENG,MF,21,37,33,2728,30.3,2.0,6.0,8.0,2.0,0.0,0.0,10.0,0.0
Anthony Elanga,SWE,"FW,MF",22,38,31,2501,27.8,6.0,11.0,17.0,6.0,0.0,0.0,1.0,0.0
Neco Williams,WAL,DF,23,35,28,2594,28.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0
Callum Hudson-Odoi,ENG,"FW,MF",23,31,25,2194,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0
Nicolás Domínguez,ARG,"MF,FW",26,34,23,1963,21.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0
Ryan Yates,ENG,MF,26,35,18,1915,21.3,2.0,1.0,3.0,2.0,0.0,0.0,10.0,0.0
Álex Moreno,ESP,"DF,MF",31,15,11,955,10.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Ibrahim Sangaré,CIV,MF,26,13,7,590,6.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
Morato,BRA,DF,23,26,6,907,10.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Jota Silva,POR,"FW,MF",24,31,5,854,9.5,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0
James Ward-Prowse,ENG,MF,29,9,5,400,4.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
Danilo,BRA,"MF,FW",23,8,5,275,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwo Awoniyi,NGA,FW,26,26,3,416,4.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Ramón Sosa,PAR,"FW,MF",24,19,1,295,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Willy Boly,CIV,DF,33,6,1,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Harry Toffolo,ENG,DF,28,4,1,137,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eric da Silva Moreira,GER,"MF,DF",18,2,0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
