Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Pedro Porro,ESP,DF,24,33,28,2610,29.0,2,6,8,2,0,0,5,0
Dejan Kulusevski,SWE,"MF,FW",24,32,27,2389,26.5,7,4,11,7,0,0,3,0
Dominic Solanke,ENG,FW,26,27,25,2201,24.5,9,3,12,8,1,1,0,0
Brennan Johnson,WAL,FW,23,33,24,2177,24.2,11,3,14,11,0,0,5,0
Guglielmo Vicario,ITA,GK,27,24,24,2160,24.0,0,0,0,0,0,0,1,0
Son Heung-min,KOR,FW,32,30,24,2110,23.4,7,9,16,6,1,2,1,0
Destiny Udogie,ITA,DF,21,25,24,1924,21.4,0,1,1,0,0,0,2,0
Pape Matar Sarr,SEN,MF,21,36,22,1913,21.3,3,2,5,3,0,0,6,0
James Maddison,ENG,MF,27,31,21,1809,20.1,9,7,16,9,0,0,6,0
Rodrigo Bentancur,URU,MF,27,26,21,1645,18.3,2,0,2,2,0,0,9,0
Djed Spence,ENG,DF,23,25,19,1792,19.9,1,2,3,1,0,0,4,1
Archie Gray,ENG,"DF,MF",18,28,19,1751,19.5,0,0,0,0,0,0,1,0
Cristian Romero,ARG,DF,26,18,18,1416,15.7,1,0,1,1,0,0,3,0
Yves Bissouma,MLI,MF,27,28,16,1408,15.6,2,0,2,2,0,0,7,0
Ben Davies,WAL,DF,31,17,14,1331,14.8,0,0,0,0,0,0,5,0
Radu Drăgușin,ROU,DF,22,16,14,1252,13.9,0,0,0,0,0,0,1,0
Micky van de Ven,NED,DF,23,13,12,1015,11.3,0,2,2,0,0,0,4,0
Lucas Bergvall,SWE,MF,18,27,11,1212,13.5,0,1,1,0,0,0,3,0
Mathys Tel,FRA,FW,19,13,11,911,10.1,2,1,3,1,1,1,2,0
Wilson Odobert,FRA,"FW,MF",19,16,9,850,9.4,1,0,1,1,0,0,0,0
Kevin Danso,AUT,DF,25,10,9,842,9.4,0,0,0,0,0,0,0,0
Fraser Forster,ENG,GK,36,7,7,630,7.0,0,0,0,0,0,0,0,0
Antonín Kinský,CZE,GK,21,6,6,540,6.0,0,0,0,0,0,0,0,0
Timo Werner,GER,"FW,MF",28,18,4,516,5.7,0,3,3,0,0,0,0,0
Richarlison,BRA,FW,27,15,4,504,5.6,4,1,5,4,0,0,2,0
Mikey Moore,ENG,FW,16,10,3,366,4.1,0,1,1,0,0,0,0,0
Sergio Reguilón,ESP,DF,27,4,1,196,2.2,0,0,0,0,0,0,2,0
Brandon Austin,ENG,GK,25,1,1,90,1.0,0,0,0,0,0,0,0,0
Dane Scarlett,ENG,"FW,MF",20,3,0,34,0.4,0,1,1,0,0,0,0,0
Alfie Dorrington,ENG,DF,19,1,0,14,0.2,0,0,0,0,0,0,0,0
Will Lankshear,ENG,"FW,MF",19,3,0,11,0.1,0,0,0,0,0,0,0,0
