Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Max Kilman,ENG,DF,27,38,38,3348,37.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0
Aaron Wan-Bissaka,COD,DF,26,36,35,3154,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0
Jarrod Bowen,ENG,"FW,MF",27,34,34,2973,33.0,13.0,8.0,21.0,12.0,1.0,1.0,1.0,0.0
Mohammed Kudus,GHA,"FW,MF",23,32,31,2590,28.8,5.0,3.0,8.0,5.0,0.0,0.0,2.0,1.0
Tomáš Souček,CZE,MF,29,35,30,2567,28.5,9.0,1.0,10.0,9.0,0.0,0.0,8.0,0.0
Lucas Paquetá,BRA,"MF,FW",26,33,27,2380,26.4,4.0,0.0,4.0,2.0,2.0,2.0,10.0,0.0
Emerson Palmieri,ITA,DF,29,31,26,2113,23.5,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0
Alphonse Areola,FRA,GK,31,26,25,2260,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Konstantinos Mavropanos,GRE,DF,26,33,21,2045,22.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
Jean-Clair Todibo,FRA,DF,24,27,20,1825,20.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Edson Álvarez,MEX,MF,26,28,20,1772,19.7,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0
Guido Rodríguez,ARG,MF,30,23,16,1149,12.8,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0
Carlos Soler,ESP,"MF,FW",27,31,14,1409,15.7,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0
Łukasz Fabiański,POL,GK,39,14,13,1160,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
James Ward-Prowse,ENG,MF,29,15,12,1039,11.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
Vladimír Coufal,CZE,DF,31,22,11,1067,11.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Michail Antonio,JAM,FW,34,14,11,836,9.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
Aaron Cresswell,ENG,DF,34,18,10,824,9.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Crysencio Summerville,NED,"FW,MF",22,19,7,786,8.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
Oliver Scarles,ENG,"DF,FW",18,15,7,665,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Niclas Füllkrug,GER,FW,31,18,6,790,8.8,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0
Danny Ings,ENG,"FW,MF",32,15,1,284,3.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
Andy Irving,SCO,MF,24,10,1,166,1.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Evan Ferguson,IRL,FW,19,8,1,156,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Guilherme,BRA,"MF,FW",18,12,1,150,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Orford,ENG,MF,18,2,0,49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaelan Casey,ENG,DF,19,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
