Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Rayan Aït-Nouri,ALG,DF,23,37,37,3109,34.5,4,7,11,4,0,0,7,1
João Gomes,BRA,MF,23,36,35,2974,33.0,3,1,4,3,0,0,11,1
Nélson Semedo,POR,DF,30,34,32,2886,32.1,0,4,4,0,0,0,8,0
André,BRA,MF,23,33,31,2472,27.5,0,0,0,0,0,0,7,0
Toti Gomes,POR,DF,25,31,30,2614,29.0,0,1,1,0,0,0,7,0
Jørgen Strand Larsen,NOR,FW,24,35,30,2587,28.7,14,4,18,14,0,0,4,0
José Sá,POR,GK,31,29,29,2609,29.0,0,0,0,0,0,0,2,0
Matheus Cunha,BRA,"MF,FW",25,33,29,2597,28.9,15,6,21,15,0,0,4,0
Matt Doherty,IRL,DF,32,30,25,2109,23.4,2,1,3,2,0,0,6,0
Jean-Ricner Bellegarde,HAI,"MF,FW",26,35,20,1677,18.6,2,7,9,2,0,0,3,0
Santiago Bueno,URU,DF,25,29,18,1687,18.7,0,0,0,0,0,0,2,0
Emmanuel Agbadou,CIV,DF,27,16,16,1410,15.7,1,0,1,1,0,0,3,0
Mario Lemina,GAB,"MF,DF",30,17,15,1364,15.2,1,3,4,1,0,0,4,0
Marshall Munetsi,ZIM,"MF,FW",28,14,12,1078,12.0,2,1,3,2,0,0,0,0
Gonçalo Guedes,POR,"MF,FW",27,29,10,995,11.1,2,4,6,2,0,0,1,0
Craig Dawson,ENG,DF,34,15,10,971,10.8,0,0,0,0,0,0,2,0
Pablo Sarabia,ESP,"MF,FW",32,23,7,814,9.0,3,2,5,3,0,0,3,0
Rodrigo Gomes,POR,"DF,FW",21,25,7,810,9.0,2,0,2,2,0,0,0,0
Sam Johnstone,ENG,GK,31,7,7,630,7.0,0,0,0,0,0,0,0,0
Hwang Hee-chan,KOR,"MF,FW",28,21,5,661,7.3,2,0,2,2,0,0,0,0
Yerson Mosquera,COL,DF,23,5,5,441,4.9,0,0,0,0,0,0,2,0
Tommy Doyle,ENG,MF,22,24,3,488,5.4,0,1,1,0,0,0,1,0
Daniel Bentley,ENG,GK,31,2,2,180,2.0,0,0,0,0,0,0,0,0
Carlos Forbs,POR,"MF,FW",20,10,1,239,2.7,0,0,0,0,0,0,2,0
Pedro Lima,BRA,DF,18,3,1,70,0.8,0,0,0,0,0,0,0,0
Nasser Djiga,BFA,DF,21,5,1,66,0.7,0,0,0,0,0,0,0,0
Daniel Podence,POR,"MF,FW",28,2,0,48,0.5,0,0,0,0,0,0,0,0
Chiquinho,POR,MF,24,1,0,7,0.1,0,0,0,0,0,0,0,0
Mateus Mane,nan,MF,0,1,0,2,0.0,0,0,0,0,0,0,0,0
Tom King,WAL,GK,29,1,0,1,0.0,0,0,0,0,0,0,0,0
Alfie Pond,ENG,DF,20,1,0,1,0.0,0,0,0,0,0,0,0,0
Boubacar Traoré,MLI,MF,22,1,0,1,0.0,0,0,0,0,0,0,0,0
